name,city,state,country
R-Ladies Adelaide,Adelaide,,Australia
R-Ladies Americana,Americana,,Brazil
R-Ladies Ames,Ames,Iowa,US
R-Ladies AU,Melbourne,,Australia
R-Ladies Austin,Austin,Texas,US
R-Ladies Berlin,Berlin,,Germany
R-Ladies BNC,Barcelona,,Spain
R-Ladies Boston,Boston,Massachusetts,US
R-Ladies Budapest,Budapest,,Hungary
R-Ladies Buenos Aires,Buenos Aires,,Argentina
R-Ladies Buffalo,Buffalo,New York,US
R-Ladies Cape Town,Cape Town,,South Africa
R-Ladies Cd. México,México City,,México
R-Ladies Chicago,Chicago,Illinois,US
R-Ladies Columubs,Columbus,Ohio,US
R-Ladies Connecticut,Hartford,Connecticut,US
R-Ladies DC,Washington,D.C.,US
R-Ladies Dublin,Dublin,,Republic of Ireland
R-Ladies Istanbul,Istanbul,,Turkey
R-Ladies IzmiR,Izmir,,Turkey
R-Ladies LA,Los Angeles,California,US
R-Ladies LdnOnt,London,Ontario,Canada
R-Ladies Lima,Lima,,Peru
R-Ladies Lisbon,Lisbon,,Portugal
R-Ladies London,London,,UK
R-Ladies Madrid,Madrid,,Spain
R-Ladies Manchester,Manchester,,UK
R-Ladies Miami,Miami,Florida,US
R-Ladies Milan,Milan,,Italy
R-Ladies Montevideo,Montevideo,,Uruguay
R-Ladies Munich,Munich,,Germany
R-Ladies Nashville,Nashville,Tennessee,US
R-Ladies NYC,New York City,New York,US
R-Ladies Orlando,Orlando,Florida,US
R-Ladies Paris,Paris,,France
R-Ladies Rio de Janeiro,Rio de Janeiro,,Brazil
R-Ladies RPT,Research Triangle Park,North Carolina,US
R-Ladies San Diego,San Diego,California,US
R-Ladies Santa Rosa,Santa Rosa,,Argentina
R-Ladies Seattle,Seattle,Washington,US
R-Ladies SF,San Francisco,California,US
R-Ladies Taipei,Taipei,,Taiwan
R-Ladies Tbilisi,Tbilisi,,Georgia
R-Ladies Twin Cities,Twin Cities,Minnesota,US
R-Ladies Valencia,Valencia,,Spain
