GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073000100,06073000100,"Census Tract 1, San Diego County, California",1038200,91546
1400000US06073000201,06073000201,"Census Tract 2.01, San Diego County, California",754900,113038
1400000US06073000202,06073000202,"Census Tract 2.02, San Diego County, California",589000,166257
1400000US06073000300,06073000300,"Census Tract 3, San Diego County, California",498900,68912
1400000US06073000400,06073000400,"Census Tract 4, San Diego County, California",433600,92782
1400000US06073000500,06073000500,"Census Tract 5, San Diego County, California",603000,58000
1400000US06073000600,06073000600,"Census Tract 6, San Diego County, California",421400,26043
1400000US06073000700,06073000700,"Census Tract 7, San Diego County, California",505500,84251
1400000US06073000800,06073000800,"Census Tract 8, San Diego County, California",389200,124084
1400000US06073000900,06073000900,"Census Tract 9, San Diego County, California",297800,74114
1400000US06073001000,06073001000,"Census Tract 10, San Diego County, California",392300,46281
1400000US06073001100,06073001100,"Census Tract 11, San Diego County, California",266200,103661
1400000US06073001200,06073001200,"Census Tract 12, San Diego County, California",290800,33574
1400000US06073001300,06073001300,"Census Tract 13, San Diego County, California",285600,47580
1400000US06073001400,06073001400,"Census Tract 14, San Diego County, California",596800,47564
1400000US06073001500,06073001500,"Census Tract 15, San Diego County, California",495300,55191
1400000US06073001600,06073001600,"Census Tract 16, San Diego County, California",265600,65777
1400000US06073001700,06073001700,"Census Tract 17, San Diego County, California",348700,29083
1400000US06073001800,06073001800,"Census Tract 18, San Diego County, California",297000,63078
1400000US06073001900,06073001900,"Census Tract 19, San Diego County, California",560600,39081
1400000US06073002001,06073002001,"Census Tract 20.01, San Diego County, California",752300,52937
1400000US06073002002,06073002002,"Census Tract 20.02, San Diego County, California",603000,32884
1400000US06073002100,06073002100,"Census Tract 21, San Diego County, California",469000,112068
1400000US06073002201,06073002201,"Census Tract 22.01, San Diego County, California",450000,44436
1400000US06073002202,06073002202,"Census Tract 22.02, San Diego County, California",230500,20379
1400000US06073002301,06073002301,"Census Tract 23.01, San Diego County, California",268800,120049
1400000US06073002302,06073002302,"Census Tract 23.02, San Diego County, California",180900,129496
1400000US06073002401,06073002401,"Census Tract 24.01, San Diego County, California",287500,51649
1400000US06073002402,06073002402,"Census Tract 24.02, San Diego County, California",301500,91240
1400000US06073002501,06073002501,"Census Tract 25.01, San Diego County, California",298400,29041
1400000US06073002502,06073002502,"Census Tract 25.02, San Diego County, California",323500,29513
1400000US06073002601,06073002601,"Census Tract 26.01, San Diego County, California",264900,22394
1400000US06073002602,06073002602,"Census Tract 26.02, San Diego County, California",325800,20149
1400000US06073002702,06073002702,"Census Tract 27.02, San Diego County, California",309000,32747
1400000US06073002703,06073002703,"Census Tract 27.03, San Diego County, California",257400,41066
1400000US06073002705,06073002705,"Census Tract 27.05, San Diego County, California",278500,18015
1400000US06073002707,06073002707,"Census Tract 27.07, San Diego County, California",183900,14507
1400000US06073002708,06073002708,"Census Tract 27.08, San Diego County, California",316100,232972
1400000US06073002709,06073002709,"Census Tract 27.09, San Diego County, California",241400,33448
1400000US06073002710,06073002710,"Census Tract 27.10, San Diego County, California",299700,32707
1400000US06073002711,06073002711,"Census Tract 27.11, San Diego County, California",318700,21199
1400000US06073002712,06073002712,"Census Tract 27.12, San Diego County, California",216900,31101
1400000US06073002801,06073002801,"Census Tract 28.01, San Diego County, California",615300,35468
1400000US06073002803,06073002803,"Census Tract 28.03, San Diego County, California",377000,39720
1400000US06073002804,06073002804,"Census Tract 28.04, San Diego County, California",485900,21432
1400000US06073002902,06073002902,"Census Tract 29.02, San Diego County, California",393100,20096
1400000US06073002903,06073002903,"Census Tract 29.03, San Diego County, California",323100,23386
1400000US06073002904,06073002904,"Census Tract 29.04, San Diego County, California",417600,29737
1400000US06073002905,06073002905,"Census Tract 29.05, San Diego County, California",381800,28116
1400000US06073003001,06073003001,"Census Tract 30.01, San Diego County, California",308600,30230
1400000US06073003003,06073003003,"Census Tract 30.03, San Diego County, California",336400,20365
1400000US06073003004,06073003004,"Census Tract 30.04, San Diego County, California",275800,25768
1400000US06073003101,06073003101,"Census Tract 31.01, San Diego County, California",269800,53500
1400000US06073003103,06073003103,"Census Tract 31.03, San Diego County, California",292600,13001
1400000US06073003105,06073003105,"Census Tract 31.05, San Diego County, California",268600,22008
1400000US06073003107,06073003107,"Census Tract 31.07, San Diego County, California",271700,23652
1400000US06073003108,06073003108,"Census Tract 31.08, San Diego County, California",286600,12735
1400000US06073003109,06073003109,"Census Tract 31.09, San Diego County, California",326000,16367
1400000US06073003111,06073003111,"Census Tract 31.11, San Diego County, California",318000,24119
1400000US06073003112,06073003112,"Census Tract 31.12, San Diego County, California",289300,19684
1400000US06073003113,06073003113,"Census Tract 31.13, San Diego County, California",304000,21582
1400000US06073003114,06073003114,"Census Tract 31.14, San Diego County, California",351200,11739
1400000US06073003115,06073003115,"Census Tract 31.15, San Diego County, California",294300,14630
1400000US06073003201,06073003201,"Census Tract 32.01, San Diego County, California",304500,40132
1400000US06073003202,06073003202,"Census Tract 32.02, San Diego County, California",324200,24457
1400000US06073003204,06073003204,"Census Tract 32.04, San Diego County, California",383700,23600
1400000US06073003207,06073003207,"Census Tract 32.07, San Diego County, California",564800,38681
1400000US06073003208,06073003208,"Census Tract 32.08, San Diego County, California",215000,16657
1400000US06073003209,06073003209,"Census Tract 32.09, San Diego County, California",226800,36101
1400000US06073003211,06073003211,"Census Tract 32.11, San Diego County, California",306500,20838
1400000US06073003212,06073003212,"Census Tract 32.12, San Diego County, California",330200,18511
1400000US06073003213,06073003213,"Census Tract 32.13, San Diego County, California",339600,17259
1400000US06073003214,06073003214,"Census Tract 32.14, San Diego County, California",255700,24312
1400000US06073003301,06073003301,"Census Tract 33.01, San Diego County, California",300500,125877
