"id","street_name","limits","all_count","northbound_count","southbound_count","eastbound_count","westbound_count","total_count","file_no","count_date"
"01AV020304","01 AV","A ST - ASH ST"," ","17050","","","","17050","0203-04","2004-03-09 00:00:00"
"01AV018207","01 AV","A ST - ASH ST"," ","18010","","","","18010","0182-07","2007-03-13 00:00:00"
"01AV015210","01 AV","A ST - ASH ST"," ","20060","","","","20060","0152-10","2010-03-18 00:00:00"
"01AV018213","01 AV","A ST - ASH ST"," ","19597","","","","19597","0182-13","2013-03-12 00:00:00"
"01AV088812","01 AV","ASH ST - BEECH ST"," ","2298","","","","2298","0888-12","2012-12-11 00:00:00"
"01AV068711","01 AV","B ST - A ST"," ","15625","","","","15625","0687-11","2011-09-01 00:00:00"
"01AV000714","01 AV","B ST - A ST"," ","13569","","","","13569","0007-14","2014-02-11 00:00:00"
"01AV048412","01 AV","B ST - C ST"," ","13389","","","","13389","0484-12","2012-05-31 00:00:00"
"01AV048115","01 AV","B ST - C ST"," ","13995","","","","13995","0481-15","2015-06-17 00:00:00"
"01AV032603","01 AV","BEECH ST - CEDAR ST"," ","23590","","","","23590","0326-03","2003-03-26 00:00:00"
"01AV019406","01 AV","BEECH ST - CEDAR ST"," ","27450","","","","27450","0194-06","2006-03-23 00:00:00"
"01AV017909","01 AV","BEECH ST - CEDAR ST"," ","22345","","","","22345","0179-09","2009-03-31 00:00:00"
"01AV018912","01 AV","BEECH ST - CEDAR ST"," ","18742","","","","18742","0189-12","2012-03-08 00:00:00"
"01AV022415","01 AV","BEECH ST - CEDAR ST"," ","24463","","","","24463","0224-15","2015-04-30 00:00:00"
"01AV005516","01 AV","BEECH ST - CEDAR ST"," ","25715","","","","25715","0055-16","2016-03-30 00:00:00"
"01AV058207","01 AV","E ST - BROADWAY "," ","10410","","","","10410","0582-07","2008-01-08 00:00:00"
"01AV000611","01 AV","E ST - BROADWAY "," ","12905","","","","12905","0006-11","2011-02-08 00:00:00"
"01AV000814","01 AV","E ST - BROADWAY "," ","11278","","","","11278","0008-14","2014-02-11 00:00:00"
"01AV026702","01 AV","ELM ST - FIR ST"," ","3530","","","","3530","0267-02","2002-03-07 00:00:00"
"01AV020103","01 AV","ELM ST - FIR ST"," ","4120","","","","4120","0201-03","2003-03-12 00:00:00"
"01AV017504","01 AV","ELM ST - FIR ST"," ","3880","","","","3880","0175-04","2004-02-25 00:00:00"
"01AV016105","01 AV","ELM ST - FIR ST"," ","3920","","","","3920","0161-05","2006-03-30 00:00:00"
"01AV018909","01 AV","ELM ST - FIR ST"," ","3285","","","","3285","0189-09","2009-03-31 00:00:00"
"01AV019012","01 AV","ELM ST - FIR ST"," ","3414","","","","3414","0190-12","2012-03-08 00:00:00"
"01AV114314","01 AV","ELM ST - FIR ST"," ","3419","","","","3419","1143-14","2014-08-05 00:00:00"
"01AV022515","01 AV","ELM ST - FIR ST"," ","3477","","","","3477","0225-15","2015-04-30 00:00:00"
"01AV006516","01 AV","ELM ST - FIR ST"," ","3474","","","","3474","0065-16","2016-03-01 00:00:00"
"01AV048312","01 AV","F ST - E ST"," ","11148","","","","11148","0483-12","2012-05-10 00:00:00"
"01AV041815","01 AV","F ST - E ST"," ","11421","","","","11421","0418-15","2015-06-09 00:00:00"
"01AV048212","01 AV","F ST - G ST"," ","10003","","","","10003","0482-12","2012-05-10 00:00:00"
"01AV041915","01 AV","F ST - G ST"," ","10774","","","","10774","0419-15","2015-06-10 00:00:00"
"01AV036903","01 AV","GRAPE ST - HAWTHORN ST"," ","6180","1150.0","","","7330","0369-03","2003-04-03 00:00:00"
"01AV068611","01 AV","GRAPE ST - HAWTHORN ST"," ","3210","610.0","","","3820","0686-11","2011-08-30 00:00:00"
"01AV000914","01 AV","GRAPE ST - HAWTHORN ST"," ","3566","502.0","","","4068","0009-14","2014-02-11 00:00:00"
"01AV114214","01 AV","GRAPE ST - HAWTHORN ST"," ","3038","514.0","","","3552","1142-14","2014-08-05 00:00:00"
"01AV110615","01 AV","ISLAND AV - E HARBOR DR"," ","3355","","","","3355","1106-15","2015-12-22 00:00:00"
"01AV115102","01 AV","ISLAND AV - MARKET ST"," ","6780","","","","6780","1151-02","2002-11-05 00:00:00"
"01AV058407","01 AV","ISLAND AV - MARKET ST"," ","4770","","","","4770","0584-07","2008-01-08 00:00:00"
"01AV072208","01 AV","ISLAND AV - MARKET ST"," ","5690","","","","5690","0722-08","2008-11-25 00:00:00"
"01AV000811","01 AV","ISLAND AV - MARKET ST"," ","6315","","","","6315","0008-11","2011-01-27 00:00:00"
"01AV108311","01 AV","ISLAND AV - MARKET ST"," ","6505","","","","6505","1083-11","2011-11-17 00:00:00"
"01AV001014","01 AV","ISLAND AV - MARKET ST"," ","5067","","","","5067","0010-14","2014-02-11 00:00:00"
"01AV001214","01 AV","JUNIPER ST - KALIMA ST"," ","2600","2103.0","","","4703","0012-14","2014-02-11 00:00:00"
"01AV026802","01 AV","JUNIPER ST - KALMIA ST"," ","3420","2230.0","","","5650","0268-02","2002-03-08 00:00:00"
"01AV008305","01 AV","JUNIPER ST - KALMIA ST"," ","3060","2040.0","","","5100","0083-05","2005-03-29 00:00:00"
"01AV012808","01 AV","JUNIPER ST - KALMIA ST"," ","3810","3480.0","","","7290","0128-08","2008-03-20 00:00:00"
"01AV031911","01 AV","JUNIPER ST - KALMIA ST"," ","2775","445.0","","","3220","0319-11","2011-05-25 00:00:00"
"01AV114114","01 AV","JUNIPER ST - KALMIA ST"," ","2411","2036.0","","","4447","1141-14","2014-08-05 00:00:00"
"01AV001314","01 AV","MARKET  ST - G ST"," ","526","","","","526","0013-14","2014-02-11 00:00:00"
"01AV115202","01 AV","MARKET ST - G ST"," ","11630","","","","11630","1152-02","2002-11-05 00:00:00"
"01AV058307","01 AV","MARKET ST - G ST"," ","9770","","","","9770","0583-07","2008-01-08 00:00:00"
"01AV072108","01 AV","MARKET ST - G ST"," ","10285","","","","10285","0721-08","2008-11-25 00:00:00"
"01AV000711","01 AV","MARKET ST - G ST"," ","12170","","","","12170","0007-11","2011-01-27 00:00:00"
"01AV108211","01 AV","MARKET ST - G ST"," ","10395","","","","10395","1082-11","2011-11-17 00:00:00"
"01AV001314","01 AV","MARKET ST - G ST"," ","526","","","","526","0013-14","2014-02-11 00:00:00"
