UNIQID,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,CompletionInfo_SN,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Gender_SN,SexOrient_DC,Straight_DC,Mono_Multi_DC,Race_DB_POC,Race_DB_Minoritized,Race_DB,Disability_macro_MH,Disability_select,Religion,Religion_belief_HH,Religion_Jewish_HH,Religion_organized_HH,Linguist_selfID_SN,Subfields,Theoretical,Theoretical_number_HH,Theoretical_genfun_HH,Methods,Methods_number_HH,Methods_qual_HH,Methods_expcorp_HH,Methods_fieldcomm_HH,Dept_affil,Dept_affil_text,Q21_29_TEXT,Lang_area_dept,Dept_langarea_HH,Home_dept_DC,Home_dept_gen_HH,Ling_Dept_DC,Lang_area_home_dept,Dept_location,Dep_loc_SN,International_grad,Degree_in_progress,Highest_degree_MH,Degree_time,Permanent_position,Current_position,Lab_research,Fieldwork_research,Lesser_studied_research,Group_membership_research,English_L1,Minority_lang,Bias_incidents,Bias_incidents_target,Behavior_correct,Behavior_heard,Biased_behavior,Biased_behavior_told,Bias_incidents_category,Bias_incidents_category_text,Bias_incidents_bystander,Bias_incidents_bystander_action,Bias_incident_outcome,Isolation_professional_identity,Isolation_personal_identity,Climate_avoid,Not_linguist,Climate_linguistics,Climate_subfield_main,Climate_subfield_second,Climate_linguistics_change,Climate_linguistics_change_time,Climate_subfield_main_change,Climate_subfield_main_change_time,Climate_subfield_second_change,Climate_subfield_second_change_time,Children,Dependents_degree,Parental_leave,Relationship,Continent_childhood,Continent_reside
1,12/23/17 12:09,12/23/17 12:25,IP Address,100,988,TRUE,ALL,1/14/18 18:21,R_27KaZqYIHsEzTQn,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Atheist,N,N,N,CogSci,"Cognitive science,Cognitive-functional linguistics,Gesture studies,	Linguistic Anthropology,	Pragmatics,Psychology of Language,Semantics,Signed language linguistics,Typology",Cognitive,1,O,"Corpus methods,Ethnographic methods,Experimental methods, Qualitative methods",4,Y,B,Y,Psychology,NA,NA,NA,,Psychology,Psych/CogSci,N,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",No,Postdoctoral scholar,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Rarely,Never,Rarely,Rarely,Rarely,Never,"Particular subfields/other academics	",NA,No,,,Not sure,"		No",NR,Yes,Good,Good,NR,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
2,12/23/17 14:06,12/23/17 14:26,IP Address,100,4310,TRUE,ALL,3/1/18 15:08,R_24CNId9rLoRMs09,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,Yes,Mental health / emotional disabilities,Jewish,Y,Y,Y,"Yes, in addition to other descriptors","Cognitive science,Historical linguistics,	Language contact,	Linguistic Anthropology,Philosophy of Language,Semantics",You don't,4,O,"Community-engaged research,Ethnographic methods, Field methods",3,N,O,Y,Anthropology,NA,NA,NA,,Anthropology,Anthropology,N,,"North America, including the Caribbean",North America,No,No,"	Ph.D",>30 years ago,Yes,Full professor,I have in the past worked in a lab-based research group,I currently do fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Often,Often,Rarely,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,		Nationality	,		Nonnative English speakers,		Other language groups,Particular subfields/other academics	,Race,		Religion,		Skin color",NA,No,,It is ongoing,"Yes, I have been intentionally excluded ","Yes, I have been intentionally excluded ","		Joining a (sub-)discipline	,Social events in your department,Conference/workshop presentation,		Formal meetings",Yes,Good,Good,Bad,gotten better,> 30 years,stayed the same,NA,stayed the same,NR,Yes,No,"	No; it was not available",Married,"North America, including the Caribbean ","North America, including the Caribbean "
3,12/23/17 19:52,12/23/17 20:00,IP Address,100,602,TRUE,ALL,1/10/18 22:07,R_O7t0hMPzrGCejxD,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Jewish,Y,Y,Y,"I used to, but not anymore","Applied linguistics,Discourse analysis,Sociolinguistics ",Usage-based,1,O,Ethnographic methods,1,N,O,Y,Other (please specify),NA,ESL,NA,,Q,NA,Q,,"North America, including the Caribbean",North America,No,No,"	Ph.D",NR,No,"	K-12 Education",I have in the past worked in a lab-based research group,I have in the past done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,No,"	Yes",No,Often,Sometimes,Sometimes,Often,Rarely,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,		Nationality	,		Nonnative English speakers,Race,		Religion,Sexual orientation		,		Skin color",NA,Yes,No,No,"		Yes, I have been excluded (perhaps intentionally)","		Yes, I have been excluded (perhaps intentionally)",NR,No,Fair,Fair,Fair,stayed the same,20-30 years,stayed the same,20-30 years,stayed the same,20-30 years,No,No,"	No",Divorced/Separated,"North America, including the Caribbean ","North America, including the Caribbean "
4,12/31/17 18:23,1/3/18 14:34,IP Address,100,1371,TRUE,ALL,1/6/18 7:08,R_1GBNHmN9MkdPhGn,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Asian,No,N/A,Agnostic,Y,N,N,"Yes, solely","Phonetics,Phonology",Formal,1,O,Experimental methods,1,N,E,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,Yes,Yes,"	M.A. / M.S. / M. Ed.","	5 - 10 years ago",No,Graduate student,I currently work in a lab-based research group,I have never done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,"		(Dis)ability status,		Gender,		Nationality	,		Nonnative English speakers,		Skin color",NA,Yes,No,No,"		No",Not sure,Social events in your department,No,Good,Good,Good,I don't know/can't say,NA,NR,NR,NR,NR,No,Yes,"	No","	Single","Asia, including the Pacific Islands","	Europe"
5,1/1/18 2:55,1/1/18 3:07,IP Address,100,601,FALSE,ALL,1/18/18 4:59,R_YVOsI3JIdTc9bqh,anonymous,EN,Male,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Agnostic,Y,N,N,"Yes, in addition to other descriptors","Cognitive science,	Pragmatics,Psychology of Language,Syntax",Usage-based,1,O,"Corpus methods,Experimental methods",2,N,B,N,"Linguistics,Philology",NA,NA,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,Yes,"	M.A. / M.S. / M. Ed.","	5 - 10 years ago",No,"	Research assistant",I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,Yes,Never,Never,Never,Rarely,Never,Never,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
6,1/2/18 12:33,1/2/18 12:36,Survey Preview,100,549,TRUE,ALL,1/7/18 10:23,R_p5B8GvqPbBlKbQt,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,,White,No,N/A,Christian,Y,N,Y,"Yes, solely","Corpus linguistics,	Language evolution,Language variation,Phonetics,Phonology,Sociolinguistics ",Generative,1,G,"Computational methods, Corpus methods,Ethnographic methods,Experimental methods",4,N,B,Y,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,"	M.A. / M.S. / M. Ed.",Within the past 5 years,No,Graduate student,I currently work in a lab-based research group,I have in the past done fieldwork/site-based research,I have never worked on lesser-studied languages/varieties,No,"	Yes",No,Often,Often,Sometimes,Often,Sometimes,Rarely,"Age	,		(Dis)ability status,		Ethnic groups,		Gender,		Nationality	,		Nonnative English speakers,Race,		Religion,		Skin color",NA,Yes,No,It is ongoing,"		Yes, I have been excluded (perhaps intentionally)","		Yes (other)","		Starting a collaboration		,Social events in your department,	Other academic activities at a conference/workshop ,		Other social events at a conference/workshop,		Informal meetings",No,Fair,Good,Fair,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,I don't know/can't say,< 5 years,No,No,"	No",Married,"North America, including the Caribbean ","North America, including the Caribbean "
7,1/2/18 13:03,1/2/18 13:04,Survey Preview,100,868,TRUE,ALL,1/6/18 18:51,R_RQfbnGdsmXnUtgZ,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Latinx,No,N/A,Catholic,Y,N,Y,"Yes, in addition to other descriptors","Neurolinguistics,Phonetics,Psychology of Language,Second language acquisition",Cognitive,1,O,Experimental methods,1,N,E,N,Language/Area-specific department (click to receive more options in next question),NA,NA,Romance languages/studies,Romance,Romance languages/studies,Language,N,Romance languages/studies,"Asia, including the Pacific Islands",Other,Yes,No,"	Ph.D",Within the past 5 years,Yes,Assistant professor (tenure-track),I have in the past worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,Yes,No,No,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Never,"Age	,		Ethnic groups,Gender identity/presentation,		Nonnative English speakers",NA,Yes,Yes,No,"Yes, I have been intentionally excluded ","Yes, I have been intentionally excluded ","		Starting a collaboration		,Social events in your department,Academic events in your department (colloquium talks, etc),		Conference/workshop dinner,		Informal meetings",No,Good,Good,Good,gotten better,< 5 years,gotten better,< 5 years,gotten better,< 5 years,No,No,"	No","	Single","	Europe","Asia, including the Pacific Islands"
8,1/2/18 14:20,1/4/18 0:46,IP Address,100,85,FALSE,NONE,2/8/18 9:18,R_12xtjzNDdrxFco6,anonymous,EN,NR,NR,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NA,,,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,NR,NR,NR
9,1/2/18 20:14,1/7/18 23:36,IP Address,100,303,TRUE,ALL,1/15/18 23:51,R_2DZCMfUjav6UXky,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,POC,,Asian,No,N/A,"Agnostic,Christian,Latter Day Saints/Mormon",Y,N,N,No,Computational linguistics,"Functional,Usage-based",2,F,"Computational methods, Corpus methods",2,N,C,N,Linguistics,NA,NA,NA,,Linguistics,Linguistics,Y,,"North America, including the Caribbean",North America,No,Yes,NR,NR,No,Undergraduate student,I have never worked in a lab-based research group,I have never done fieldwork/site-based research,Some of my research involves lesser-studied languages/varieties,No,"	Yes",No,Sometimes,Sometimes,Rarely,Often,Sometimes,Never,"		Ethnic groups,Gender identity/presentation,		Nonnative English speakers,Race,		Religion",NA,Yes,Yes,Yes,"		No","		No",NR,No,Good,Good,Good,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NR,No,No,"	No",Domestic partner/Long-term relationship,"North America, including the Caribbean ","North America, including the Caribbean "
10,1/3/18 11:27,1/3/18 11:30,IP Address,100,844,TRUE,ALL,1/4/18 2:01,R_1IMJDGquRpXZTNt,anonymous,EN,Female,Heterosexual,Y,Monosexual-straight,White,M,Jewish,No,N/A,Atheist,N,N,N,Psycholinguist,"Cognitive science,Neurolinguistics,Psychology of Language,Syntax","Formal,Generative",2,G,Experimental methods,1,N,E,N,"Linguistics,Other (please specify)",NA,brain sciences,NA,,Linguistics,Linguistics,Y,,Europe,Europe,No,No,"	Ph.D","	5 - 10 years ago",Yes,Assistant professor (tenure-track),I currently work in a lab-based research group,I have never done fieldwork/site-based research,Most of my research focuses on lesser-studied languages/varieties,Yes,No,No,Sometimes,Rarely,Never,Rarely,Rarely,Rarely,"Age	,		Ethnic groups,		Gender",NA,NA,,,"		No","		No",NR,No,Fair,Good,Fair,I don't know/can't say,NA,I don't know/can't say,NA,I don't know/can't say,NA,Yes,No,Yes,Married,"	Europe","	Europe"
