track,artist
Despacito (Remix),Luis Fonsi & Daddy Yankee 
Rap God,Eminem 
Shape of You,Ed Sheeran 
HUMBLE.,Kendrick Lamar
Man's Not Hot,Big Shaq 
Bad and Boujee,Migos
God's Plan,Drake 
The Hills,The Weeknd
Drunk in Love,Beyoncé
"_thank u, next",Ariana Grande
Work,Rihanna 
Bodak Yellow,Cardi B
Too Good at Goodbyes,Sam Smith
Fuckin' Problems,A$AP Rocky 
In My Feelings,Drake
XO TOUR Llif3,Lil Uzi Vert
1-800-273-8255,Logic 
Hotline Bling,Drake
Mercy,Kanye West 
SICKO MODE,Travis Scott
Closer,The Chainsmokers 
Trap Queen,Fetty Wap
__rockstar,Post Malone
Holy Grail,JAY-Z 
SAD!,XXXTENTACION 
_m.A.A.d city,Kendrick Lamar 
Starboy,The Weeknd 
One Dance,Drake
FORMATION,Beyoncé
Killshot,Eminem
Jocelyn Flores,XXXTENTACION
Swimming Pools (Drank),Kendrick Lamar 
Panda,Desiigner 
Niggas in Paris,JAY-Z & Kanye West 
7 rings,Ariana Grande
"Hold On, We're Going Home",Drake
Perfect,Ed Sheeran 
I'm the One,DJ Khaled
"_i_ hate u, i love u",_gnash 
Look At Me!,XXXTENTACION
FRIENDS,Marshmello & Anne-Marie 
Mask Off,Future
DNA.,Kendrick Lamar
It's Everyday Bro,Jake Paul
Know Yourself,Drake
Bohemian Rhapsody,Queen
Back to Back,Drake
Shallow,Lady Gaga & Bradley Cooper 
Hot Nigga,Bobby Shmurda
Black Beatles,Rae Sremmurd
Caroline,Aminé 
This Is America,Childish Gambino
Money Trees,Kendrick Lamar 
Alexander Hamilton,Original Broadway Cast of Hamilton 
XXX.,Kendrick Lamar
Thrift Shop,Macklemore & Ryan Lewis
Hello,Adele
"Bitch, Don't Kill My Vibe",Kendrick Lamar 
Control,Big Sean 
_iSpy,KYLE 
The Monster,Eminem 
Gucci Gang,Lil Pump
Blurred Lines,Robin Thicke 
New Rules,Dua Lipa 
Poetic Justice,Kendrick Lamar 
No Role Modelz,J. Cole
"Father Stretch My Hands, Pt. 1",Kanye West
679,Fetty Wap
King Kunta,Kendrick Lamar
White Iverson,Post Malone 
Lose Yourself,Eminem 
Believer,Imagine Dragons
Can't Feel My Face,The Weeknd
All Me,Drake 
Get Lucky,Daft Punk
MotorSport,"Migos, Nicki Minaj & Cardi B"
Redbone,Childish Gambino
_goosebumps,Travis Scott 
Ultralight Beam,Kanye West 
Bad,Wale 
Fake Love,Drake
Power Trip,J. Cole
Guns and Ships,Original Broadway Cast of Hamilton 
Clique,Kanye West
Love Yourself,Justin Bieber 
Don't,Bryson Tiller 
Can't Hold Us,Macklemore & Ryan Lewis
See You Again,Wiz Khalifa 
OOOUUU,Young M.A 
Monster,Kanye West
Attention,Charlie Puth 
Lucky You,Eminem
0 to 100 / The Catch Up,Drake
LOVE.,Kendrick Lamar 
Havana,Camila Cabello
From Time,Drake 
Same Love,Macklemore & Ryan Lewis
Backseat Freestyle,Kendrick Lamar 
FEFE,6ix9ine
212,Azealia Banks 
