track,artist
In Your Eyes,Peter Gabriel
Unchained Melody,the Righteous Brothers
The First Time Ever I Saw Your Face,Roberta Flack
Time After Time,Cyndi Lauper
I Will Always Love You,Whitney Houston
When a Man Loves a Woman,Percy Sledge
Your Song,Elton John
(They Long to Be) Close to You,The Carpenters
My Love,Paul McCartney and Wings
Best of My Love,The Emotions
Endless Love,Diana Ross and Lionel Richie
The Power of Love,Celine Dion
Annie's Song,John Denver
I Want to Know What Love Is,Foreigner
Crazy For You,Madonna
You Are the Sunshine of My Life,Stevie Wonder
I Knew I Loved You,Savage Garden
I Love You Always Forever,Donna Lewis
My Heart Will Go On (Love Theme from 'Titanic'),Celine Dion
Up Where We Belong,Joe Cocker and Jennifer Warnes
Wind Beneath My Wings,Gary Morris
I Keep on Lovin' You,Reba McEntire
Through the Years,Kenny Rogers
Remember When,Alan Jackson
When I Said I Do,Clint Black and Lisa Hartman Black
I Will Always Love You,Dolly Parton
Making Memories of Us,Keith Urban
"Forever and Ever, Amen",Randy Travis
You're Still the One,Shania Twain
Amazed,Lonestar
"Love, Me",Collin Raye
I Cross My Heart,George Strait
When You Say Nothing at All,Alison Krauss
Two Sparrows in a Hurricane,Tanya Tucker
To Make You Feel My Love,Garth Brooks
Crazy Little Thing Called Love,Queen
I'll Stand By You,The Pretenders
When You Love a Woman,Journey
True Love Waits,Radiohead
Wild Horses,The Rolling Stones
Bitter Sweet Symphony,The Verve
Whole Lotta Love,Led Zeppelin
Love of My Life,Queen
Is This Love?,Whitesnake
(I Just) Died in Your Arms,Cutting Crew
Something,the Beatles
Faithfully,Journey
You Make Loving Fun,Fleetwood Mac
You're the Inspiration,Chicago
Everlong,Foo Fighters
Sleepwalking,Modest Mouse
Still Together,Mac DeMarco
There is a Light That Never Goes Out,The Smiths
Milk & Honey,As Tall As Lions
The First Day of My Life,Bright Eyes
Inside and Out,Feist
I Will Keep the Bad Things from You,The Damnwells
The Blower's Daughter,Damien Rice
Such Great Heights,The Postal Service
Falling Slowly,Glen Hansard and Marketa Irglova
Fix You,Coldplay
Awake,Secondhand Serenade
The Luckiest,Ben Folds
Dog Days Are Over,Florence and the Machine
Just Like Heaven,The Cure
Make You Feel My Love,Adele
Chasing Cars,Snow Patrol
We Found Love,Rihanna featuring Calvin Harris
Love Song,Sara Bareilles
Crazy In Love,Beyonce featuring Jay-Z
I'm Yours,Jason Mraz
Bless the Broken Road,Rascal Flatts
Breathe Me,Sia
Bleeding Love,Leona Lewis
Love Story,Taylor Swift
Pusher Love Girl,Justin Timberlake
It Will Rain,Bruno Mars
Adore You,Miley Cyrus
My House,Kacey Musgraves
Use Somebody,Kings of Leon
The Best,Tina Turner
The Power of Love,Celine Dion
As Long As I Got You,Lily Allen
Cherish,Madonna
I Have Been Around the World,Dar Williams
You Belong to Me,Patsy Cline
If I Never Met You,Barbra Streisand
The Man with the Child in His Eyes,Kate Bush
Ain't No Other Man,Christina Aguilera
Magic Man,Heart
My Girl,The Temptations
You Are So Beautiful,Joe Cocker
Lady,Kenny Rogers
The Lady in Red,Chris de Burgh
Wonderful Tonight,Eric Clapton
When a Man Loves a Woman,Michael Bolton
(Everything I Do) I Do it For You,Bryan Adams
Take My Breath Away,Berlin
Hero,Enrique Iglesias
I Just Can't Stop Loving You,Michael Jackson
