"","name","city","state","country","lon","lat"
"1","R-Ladies Adelaide","Adelaide","","Australia",138.6007456,-34.9284989
"2","R-Ladies Americana","Americana","","Brazil",-47.3335688,-22.7378463
"3","R-Ladies Ames","Ames","Iowa","US",-93.6319131,42.0307812
"4","R-Ladies AU","Melbourne","","Australia",144.9630576,-37.8136276
"5","R-Ladies Austin","Austin","Texas","US",-97.7430608,30.267153
"6","R-Ladies Berlin","Berlin","","Germany",13.404954,52.5200066
"7","R-Ladies BNC","Barcelona","","Spain",2.1734035,41.3850639
"8","R-Ladies Boston","Boston","Massachusetts","US",-71.0588801,42.3600825
"9","R-Ladies Budapest","Budapest","","Hungary",19.040235,47.497912
"10","R-Ladies Buenos Aires","Buenos Aires","","Argentina",-58.3815591,-34.6036844
"11","R-Ladies Buffalo","Buffalo","New York","US",-78.8783689,42.8864468
"12","R-Ladies Cape Town","Cape Town","","South Africa",18.4240553,-33.9248685
"13","R-Ladies Cd. M_xico","Mexico City","","M_xico",-99.133208,19.4326077
"14","R-Ladies Chicago","Chicago","Illinois","US",-87.6297982,41.8781136
"15","R-Ladies Columubs","Columbus","Ohio","US",-82.9987942,39.9611755
"16","R-Ladies Connecticut","Hartford","Connecticut","US",-72.6850932,41.7637111
"17","R-Ladies DC","Washington","D.C.","US",-120.7401385,47.7510741
"18","R-Ladies Dublin","Dublin","","Republic of Ireland",-6.2603097,53.3498053
"19","R-Ladies Istanbul","Istanbul","","Turkey",28.9783589,41.0082376
"20","R-Ladies IzmiR","Izmir","","Turkey",27.142826,38.423734
"21","R-Ladies LA","Los Angeles","California","US",-118.2436849,34.0522342
"22","R-Ladies LdnOnt","London","Ontario","Canada",-0.1277583,51.5073509
"23","R-Ladies Lima","Lima","","Peru",-77.042754,-12.0463731
"24","R-Ladies Lisbon","Lisbon","","Portugal",-9.1393366,38.7222524
"25","R-Ladies London","London","","UK",-0.1277583,51.5073509
"26","R-Ladies Madrid","Madrid","","Spain",-3.7037902,40.4167754
"27","R-Ladies Manchester","Manchester","","UK",-2.2426305,53.4807593
"28","R-Ladies Miami","Miami","Florida","US",-80.1917902,25.7616798
"29","R-Ladies Milan","Milan","","Italy",9.189982,45.4642035
"30","R-Ladies Montevideo","Montevideo","","Uruguay",-56.1645314,-34.9011127
"31","R-Ladies Munich","Munich","","Germany",11.5819805,48.1351253
"32","R-Ladies Nashville","Nashville","Tennessee","US",-86.7816016,36.1626638
"33","R-Ladies NYC","New York City","New York","US",-74.0059413,40.7127837
"34","R-Ladies Orlando","Orlando","Florida","US",-81.3792365,28.5383355
"35","R-Ladies Paris","Paris","","France",2.3522219,48.856614
"36","R-Ladies Rio de Janeiro","Rio de Janeiro","","Brazil",-43.1728965,-22.9068467
"37","R-Ladies RPT","Research Triangle Park","North Carolina","US",-78.8636402,35.8991678
"38","R-Ladies San Diego","San Diego","California","US",-117.1610838,32.715738
"39","R-Ladies Santa Rosa","Santa Rosa","","Argentina",-122.7140548,38.440429
"40","R-Ladies Seattle","Seattle","Washington","US",-122.3320708,47.6062095
"41","R-Ladies SF","San Francisco","California","US",-122.4194155,37.7749295
"42","R-Ladies Taipei","Taipei","","Taiwan",121.5654177,25.0329694
"43","R-Ladies Tbilisi","Tbilisi","","Georgia",44.827096,41.7151377
"44","R-Ladies Twin Cities","Twin Cities","Minnesota","US",-93.2009998,44.9374831
"45","R-Ladies Valencia","Valencia","","Spain",-81.4634578,28.5217717
